percentil_nacional,i.agua.p,i.materiales.p,i.hacinamiento.p,i.saneamiento.p,i.edu.p,i.alim.p,i.exceso.g.alim.p
1,0.580251806707983,0.118220984578641,0.417537420988697,0.109406205604398,0.600444728118759,0.295515143404229,0.875568778438922
2,0.58436147227952,0.15336974631943,0.47905995781862,0.136806215444359,0.669004926311344,0.315636725097406,0.897471949897379
3,0.591023054346622,0.185545360142031,0.526217329798007,0.182690300786172,0.720415478132255,0.37681372283764,0.91850196993942
4,0.624481040331313,0.222304617137344,0.557302384776841,0.208440888633436,0.738172338230842,0.36024910064097,0.94886868075192
5,0.599742014202144,0.206427413705302,0.610397499760885,0.233223814312266,0.75366750852413,0.401315262264019,0.93425498199528
6,0.67021860104601,0.211810482240757,0.597008237775311,0.295988236899774,0.790450463905978,0.39979090110807,0.942482354062106
7,0.609217446371432,0.217029339003601,0.639230909825747,0.289659912629132,0.785611866374572,0.426987146648681,0.950262447259556
8,0.657554440063375,0.266954996897929,0.622377980936364,0.271344042741923,0.778673646753593,0.427139788033697,0.947631402187345
9,0.618843073579071,0.257789393331695,0.655300099623501,0.327409400835802,0.814894360274806,0.431017841663324,0.955668835957615
10,0.675570720401725,0.23758964784652,0.674380995300328,0.329013068949977,0.81313847936651,0.412929891199382,0.968400180261379
11,0.695773052566545,0.263689955207743,0.690313030942697,0.391162539257581,0.795909488750451,0.460755290119961,0.946921175925449
12,0.699108067582817,0.276243990663307,0.647514079753495,0.369394506190969,0.836597568956012,0.503890288705796,0.95819356633844
13,0.680217737242441,0.239341020398704,0.668990982547031,0.393837644647464,0.819426920521787,0.492439965186761,0.961182723157499
14,0.683861364209963,0.284114262756955,0.693431333666411,0.421918217451545,0.787467357544978,0.463332286027742,0.947694811716774
15,0.707646767861007,0.276893271915994,0.676737152337672,0.407971888170979,0.818221164250162,0.499994847538669,0.974881751012459
16,0.707808959835221,0.277136972193615,0.707814109165808,0.442203913491246,0.873583934088568,0.473748712667353,0.969541709577755
17,0.717296535954949,0.275207860727519,0.700814448412688,0.45300635233713,0.850144581973988,0.520850445848064,0.962627555290052
18,0.685890887194518,0.31776319006091,0.688029294377096,0.457014413018808,0.836629293862437,0.51946825456052,0.979282411279262
19,0.677753310190479,0.313374120258905,0.768341911264026,0.457139039562975,0.824737844219982,0.527143176498097,0.964949110558949
20,0.694039490680937,0.349093211129565,0.768720141067438,0.470156445428636,0.831721207274815,0.526760267372004,0.968541756371614
21,0.730564366664417,0.307826687363399,0.751942914397554,0.476578601724612,0.834780893247432,0.533082757510785,0.975786899799089
22,0.691696631876114,0.297031641200532,0.768499438474299,0.484769259301235,0.848411242877896,0.530680424904953,0.976091368989357
23,0.744598910147549,0.324440493593713,0.71116340849941,0.48585015941854,0.827604457039208,0.538431301014575,0.962767228378299
24,0.694668678972692,0.351147401416354,0.766980122028301,0.537118016588625,0.844389407014693,0.541385137314087,0.955886640093908
