clave,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp
011111,1,0.254795472747387,0.254795472747387,1,2
011131,1,0.127438751237189,0.127438751237189,1,1.5
011132,0.5,0.0155239918990394,0.0310479837980787,0.5,0.561
011133,0.3,0.00636779724338047,0.0212259908112682,0.3,0.325
011134,0.62,0.00763814031372404,0.0123195811511678,0.62,0.65
011135,0.185,0.00509563424553142,0.0275439688947644,0.18,0.2
011137,0.35,0.0101930310561469,0.0291229458747055,0.32,0.36
011150,0.22,0.00764400327091759,0.0347454694132618,0.22,0.25
011192,0.36,0.010178961046536,0.0282748917959334,0.36,0.4
011221,1,0.127349962631767,0.127349962631767,1,1.5
011224,0.7,0.038194865911286,0.05456409415898,0.6,0.75
011228,1,0.127163521466669,0.127163521466669,1,1.5
01122F,1,0.0636566346636399,0.0636566346636399,1,1.25
011231,0.25,0.0127235056359105,0.050894022543642,0.25,0.3
011252,0.4,0.0361717516308493,0.0904293790771232,0.358,0.5
011322,0.28,0.00381728224564535,0.0136331508773048,0.28,0.295
011411,1,0.203876580244211,0.203876580244211,1,1.8
011433,0.25,0.0448127998923837,0.179251199569535,0.25,0.426
011451,0.35,0.02547729282576,0.0727922652164572,0.3,0.4
011454,0.275,0.0381724459607685,0.138808894402795,0.25,0.4
011460,0.66,0.101824870820801,0.154280107304243,0.5,0.9
011481,0.6,0.0305850738197326,0.0509751230328876,0.6,0.72
011512,1,0.127384085125923,0.127384085125923,1,1.5
011592,0.25,0.0127247662063631,0.0508990648254522,0.25,0.3
011611,0.5,0.0254721255197248,0.0509442510394495,0.5,0.6
011616,1,0.0636465129887535,0.0636465129887535,1,1.25
011621,0.7,0.125292985420735,0.178989979172479,0.508,1
011633,1,0.127381446093412,0.127381446093412,1,1.5
011712,0.6,0.0254664374790056,0.0424440624650094,0.6,0.7
011721,1,0.127361823203528,0.127361823203528,1,1.5
011722,0.6,0.0803583164380276,0.133930527396713,0.5,0.816
011723,0.5,0.104306053096291,0.208612106192582,0.5,0.91
011725,0.25,0.0254747699798286,0.101899079919315,0.25,0.35
011727,1,0.127437807582219,0.127437807582219,1,1.5
011728,1,0.127266944905653,0.127266944905653,1,1.5
011729,1,0.254554384133313,0.254554384133313,1,2
011743,0.5,0.0535205401159711,0.107041080231942,0.5,0.71
011748,0.5,0.0636854396439198,0.12737087928784,0.5,0.75
011751,1,0.114675824703287,0.114675824703287,1,1.45
011761,1,0.127412117076647,0.127412117076647,1,1.5
011796,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16
011810,1,0.254796722743659,0.254796722743659,1,2
011911,1,0.25450250273532,0.25450250273532,1,2
011942,0.1,0.00509126271465055,0.0509126271465055,0.1,0.12
012100,1,0.127322600068478,0.127322600068478,1,1.5
012201,0.1,0.00763859166937923,0.0763859166937923,0.09,0.12
012501,20,4.58630151506744,0.229315075753372,20,38
012601,2,0.127434424622813,0.0637172123114065,2,2.5
012602,2,0.127338647164789,0.0636693235823944,2,2.5
111111,1,0.254851126766125,0.254851126766125,1,2
111112,1,0.254872281009274,0.254872281009274,1,2
111113,1,0.254808691830992,0.254808691830992,1,2
111124,1.5,0.254775790359055,0.169850526906037,1,2
111126,1,0.127304362891857,0.127304362891857,1,1.5
181124,1,0.0509472125826674,0.0509472125826674,1,1.2
181125,1,0.0595481257460564,0.0595481257460564,1,1.234
181126,0.3,0.0280181965091665,0.0933939883638883,0.29,0.4
181134,1,0.127303152230949,0.127303152230949,1,1.5
