clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011111,26,Nacional,1,0.254795472747387,0.254795472747387,1,2,26
011131,23,Nacional,1,0.127438751237189,0.127438751237189,1,1.5,23
011132,50,Nacional,0.5,0.0155239918990394,0.0310479837980787,0.5,0.561,25
011133,58.3333333333333,Nacional,0.3,0.00636779724338047,0.0212259908112682,0.3,0.325,17.5
011134,88.7096774193548,Nacional,0.62,0.00763814031372404,0.0123195811511678,0.62,0.65,55
011135,90.3954802259887,Nacional,0.185,0.00509563424553142,0.0275439688947644,0.18,0.2,16.7231638418079
011137,74.0740740740741,Nacional,0.35,0.0101930310561469,0.0291229458747055,0.32,0.36,25.9259259259259
011150,50,Nacional,0.22,0.00764400327091759,0.0347454694132618,0.22,0.25,11
011192,95,Nacional,0.36,0.010178961046536,0.0282748917959334,0.36,0.4,34.2
011221,170,Nacional,1,0.127349962631767,0.127349962631767,1,1.5,170
011224,142.857142857143,Nacional,0.7,0.038194865911286,0.05456409415898,0.6,0.75,100
011228,120,Nacional,1,0.127163521466669,0.127163521466669,1,1.5,120
01122F,80,Nacional,1,0.0636566346636399,0.0636566346636399,1,1.25,80
011231,100,Nacional,0.25,0.0127235056359105,0.050894022543642,0.25,0.3,25
011252,120,Nacional,0.4,0.0361717516308493,0.0904293790771232,0.358,0.5,48
011322,135.714285714286,Nacional,0.28,0.00381728224564535,0.0136331508773048,0.28,0.295,38
011411,22.5,Nacional,1,0.203876580244211,0.203876580244211,1,1.8,22.5
011433,80,Nacional,0.25,0.0448127998923837,0.179251199569535,0.25,0.426,20
011451,120,Nacional,0.35,0.02547729282576,0.0727922652164572,0.3,0.4,42
011454,120,Nacional,0.275,0.0381724459607685,0.138808894402795,0.25,0.4,33
011460,59.0909090909091,Nacional,0.66,0.101824870820801,0.154280107304243,0.5,0.9,39
011481,51.2820512820513,Nacional,0.6,0.0305850738197326,0.0509751230328876,0.6,0.72,30.7692307692308
011512,47,Nacional,1,0.127384085125923,0.127384085125923,1,1.5,47
011592,160,Nacional,0.25,0.0127247662063631,0.0508990648254522,0.25,0.3,40
011611,64,Nacional,0.5,0.0254721255197248,0.0509442510394495,0.5,0.6,32
011616,22,Nacional,1,0.0636465129887535,0.0636465129887535,1,1.25,22
011621,30,Nacional,0.7,0.125292985420735,0.178989979172479,0.508,1,21
011633,37.5,Nacional,1,0.127381446093412,0.127381446093412,1,1.5,37.5
011712,34.2465753424658,Nacional,0.6,0.0254664374790056,0.0424440624650094,0.6,0.7,20.5479452054795
011721,28,Nacional,1,0.127361823203528,0.127361823203528,1,1.5,28
011722,30,Nacional,0.6,0.0803583164380276,0.133930527396713,0.5,0.816,18
011723,30.3030303030303,Nacional,0.5,0.104306053096291,0.208612106192582,0.5,0.91,15.1515151515152
011725,40,Nacional,0.25,0.0254747699798286,0.101899079919315,0.25,0.35,10
011727,27,Nacional,1,0.127437807582219,0.127437807582219,1,1.5,27
011728,26,Nacional,1,0.127266944905653,0.127266944905653,1,1.5,26
011729,25,Nacional,1,0.254554384133313,0.254554384133313,1,2,25
011743,29,Nacional,0.5,0.0535205401159711,0.107041080231942,0.5,0.71,14.5
011748,24.6666666666667,Nacional,0.5,0.0636854396439198,0.12737087928784,0.5,0.75,12.3333333333333
011751,30,Nacional,1,0.114675824703287,0.114675824703287,1,1.45,30
011761,40,Nacional,1,0.127412117076647,0.127412117076647,1,1.5,40
011796,156.862745098039,Nacional,0.153,0.00508993064767774,0.0332675205730571,0.14,0.16,24
011810,27,Nacional,1,0.254796722743659,0.254796722743659,1,2,27
011911,37.5,Nacional,1,0.25450250273532,0.25450250273532,1,2,37.5
011942,83.3333333333333,Nacional,0.1,0.00509126271465055,0.0509126271465055,0.1,0.12,8.33333333333333
012100,30,Nacional,1,0.127322600068478,0.127322600068478,1,1.5,30
012201,571.428571428571,Nacional,0.1,0.00763859166937923,0.0763859166937923,0.09,0.12,57.1428571428572
012501,1,Nacional,20,4.58630151506744,0.229315075753372,20,38,20
012601,16.6666666666667,Nacional,2,0.127434424622813,0.0637172123114065,2,2.5,33.3333333333333
012602,15,Nacional,2,0.127338647164789,0.0636693235823944,2,2.5,30
111111,50,Nacional,1,0.254851126766125,0.254851126766125,1,2,50
111112,70,Nacional,1,0.254872281009274,0.254872281009274,1,2,70
111113,65,Nacional,1,0.254808691830992,0.254808691830992,1,2,65
111124,35,Nacional,1.5,0.254775790359055,0.169850526906037,1,2,52.5
111126,140,Nacional,1,0.127304362891857,0.127304362891857,1,1.5,140
181124,85,Nacional,1,0.0509472125826674,0.0509472125826674,1,1.2,85
181125,102.040816326531,Nacional,1,0.0595481257460564,0.0595481257460564,1,1.234,102.040816326531
181126,100,Nacional,0.3,0.0280181965091665,0.0933939883638883,0.29,0.4,30
181134,20,Nacional,1,0.127303152230949,0.127303152230949,1,1.5,20
011111,34,Aguascalientes,1,0.254795472747387,0.254795472747387,1,2,34
011111,30,Baja California,1,0.254795472747387,0.254795472747387,1,2,30
011111,28.5,Baja California Sur,1,0.254795472747387,0.254795472747387,1,2,28.5
011111,26,Campeche,1,0.254795472747387,0.254795472747387,1,2,26
011111,26,Chiapas,1,0.254795472747387,0.254795472747387,1,2,26
011111,30,Chihuahua,1,0.254795472747387,0.254795472747387,1,2,30
011111,33,Ciudad de México,1,0.254795472747387,0.254795472747387,1,2,33
011111,27,Coahuila,1,0.254795472747387,0.254795472747387,1,2,27
011111,28,Colima,1,0.254795472747387,0.254795472747387,1,2,28
011111,32,Durango,1,0.254795472747387,0.254795472747387,1,2,32
011111,30,Guanajuato,1,0.254795472747387,0.254795472747387,1,2,30
011111,25,Guerrero,1,0.254795472747387,0.254795472747387,1,2,25
011111,28.8888888888889,Hidalgo,1,0.254795472747387,0.254795472747387,1,2,28.8888888888889
011111,32,Jalisco,1,0.254795472747387,0.254795472747387,1,2,32
011111,26,Michoacán,1,0.254795472747387,0.254795472747387,1,2,26
011111,27,Morelos,1,0.254795472747387,0.254795472747387,1,2,27
011111,30,México,1,0.254795472747387,0.254795472747387,1,2,30
011111,30,Nayarit,1,0.254795472747387,0.254795472747387,1,2,30
011111,26,Nuevo León,1,0.254795472747387,0.254795472747387,1,2,26
011111,28,Oaxaca,1,0.254795472747387,0.254795472747387,1,2,28
011111,25,Puebla,1,0.254795472747387,0.254795472747387,1,2,25
011111,32,Querétaro,1,0.254795472747387,0.254795472747387,1,2,32
011111,24.4444444444444,Quintana Roo,1,0.254795472747387,0.254795472747387,1,2,24.4444444444444
011111,25,San Luis Potosí,1,0.254795472747387,0.254795472747387,1,2,25
011111,28,Sinaloa,1,0.254795472747387,0.254795472747387,1,2,28
011111,30,Sonora,1,0.254795472747387,0.254795472747387,1,2,30
011111,25,Tabasco,1,0.254795472747387,0.254795472747387,1,2,25
011111,26,Tamaulipas,1,0.254795472747387,0.254795472747387,1,2,26
011111,28,Tlaxcala,1,0.254795472747387,0.254795472747387,1,2,28
011111,24,Veracruz,1,0.254795472747387,0.254795472747387,1,2,24
011111,30,Yucatán,1,0.254795472747387,0.254795472747387,1,2,30
011111,30,Zacatecas,1,0.254795472747387,0.254795472747387,1,2,30
011131,22,Aguascalientes,1,0.127438751237189,0.127438751237189,1,1.5,22
011131,28,Baja California,1,0.127438751237189,0.127438751237189,1,1.5,28
011131,30,Baja California Sur,1,0.127438751237189,0.127438751237189,1,1.5,30
011131,24,Campeche,1,0.127438751237189,0.127438751237189,1,1.5,24
011131,23,Chiapas,1,0.127438751237189,0.127438751237189,1,1.5,23
011131,25,Chihuahua,1,0.127438751237189,0.127438751237189,1,1.5,25
011131,20,Ciudad de México,1,0.127438751237189,0.127438751237189,1,1.5,20
011131,23,Coahuila,1,0.127438751237189,0.127438751237189,1,1.5,23
011131,26,Colima,1,0.127438751237189,0.127438751237189,1,1.5,26
011131,22,Durango,1,0.127438751237189,0.127438751237189,1,1.5,22
011131,21.3333333333333,Guanajuato,1,0.127438751237189,0.127438751237189,1,1.5,21.3333333333333
011131,28,Guerrero,1,0.127438751237189,0.127438751237189,1,1.5,28
011131,22,Hidalgo,1,0.127438751237189,0.127438751237189,1,1.5,22
011131,24,Jalisco,1,0.127438751237189,0.127438751237189,1,1.5,24
011131,24,Michoacán,1,0.127438751237189,0.127438751237189,1,1.5,24
011131,24,Morelos,1,0.127438751237189,0.127438751237189,1,1.5,24
011131,22,México,1,0.127438751237189,0.127438751237189,1,1.5,22
011131,28,Nayarit,1,0.127438751237189,0.127438751237189,1,1.5,28
011131,25,Nuevo León,1,0.127438751237189,0.127438751237189,1,1.5,25
011131,21,Oaxaca,1,0.127438751237189,0.127438751237189,1,1.5,21
011131,18,Puebla,1,0.127438751237189,0.127438751237189,1,1.5,18
011131,22,Querétaro,1,0.127438751237189,0.127438751237189,1,1.5,22
011131,26,Quintana Roo,1,0.127438751237189,0.127438751237189,1,1.5,26
011131,23,San Luis Potosí,1,0.127438751237189,0.127438751237189,1,1.5,23
011131,26,Sinaloa,1,0.127438751237189,0.127438751237189,1,1.5,26
011131,28,Sonora,1,0.127438751237189,0.127438751237189,1,1.5,28
011131,24,Tabasco,1,0.127438751237189,0.127438751237189,1,1.5,24
011131,25,Tamaulipas,1,0.127438751237189,0.127438751237189,1,1.5,25
011131,20,Tlaxcala,1,0.127438751237189,0.127438751237189,1,1.5,20
011131,20,Veracruz,1,0.127438751237189,0.127438751237189,1,1.5,20
011131,25.9259259259259,Yucatán,1,0.127438751237189,0.127438751237189,1,1.5,25.9259259259259
011131,21,Zacatecas,1,0.127438751237189,0.127438751237189,1,1.5,21
