nom_ent,valor,canasta_alimentos,ambito
Puebla,2129.46075462409,2555.35290554891,Rural
Tlaxcala,2181.58567162466,2617.90280594959,Rural
Hidalgo,2215.00314358752,2658.00377230502,Rural
Ciudad de México,2238.22797362493,2685.87356834991,Rural
Sonora,2245.17946737079,2694.21536084495,Rural
Veracruz,2290.01693637038,2748.02032364446,Rural
Coahuila,2321.33595757545,2785.60314909054,Rural
México,2326.53893977482,2791.84672772979,Rural
Nacional,2350.50145436335,2820.60174523602,Rural
Morelos,2379.4671406399,2855.36056876787,Rural
Chiapas,2397.01378376437,2876.41654051725,Rural
Zacatecas,2405.26259347051,2886.31511216461,Rural
Yucatán,2417.40751891676,2900.88902270012,Rural
Aguascalientes,2423.02931009605,2907.63517211525,Rural
San Luis Potosí,2425.48509278968,2910.58211134762,Rural
Durango,2431.087351485,2917.30482178199,Rural
Campeche,2448.33706768636,2938.00448122363,Rural
Tabasco,2464.775750514,2957.7309006168,Rural
Guanajuato,2481.8191742765,2978.1830091318,Rural
Oaxaca,2483.33296470095,2979.99955764114,Rural
Tamaulipas,2494.52393364665,2993.42872037599,Rural
Michoacán,2522.76648487134,3027.31978184561,Rural
Querétaro,2522.98983137047,3027.58779764456,Rural
Sinaloa,2534.40644040265,3041.28772848318,Rural
Baja California,2572.96514968533,3087.55817962239,Rural
Quintana Roo,2591.14003207987,3109.36803849584,Rural
Nuevo León,2596.68814762637,3116.02577715164,Rural
Chihuahua,2603.88704897233,3124.6644587668,Rural
Colima,2623.41891895069,3148.10270274083,Rural
Jalisco,2668.3430333048,3202.01163996576,Rural
Guerrero,2714.05994467878,3256.87193361454,Rural
Baja California Sur,2721.53201231301,3265.83841477561,Rural
Nayarit,2784.72355745741,3341.66826894889,Rural
Tlaxcala,2263.31828617503,2715.98194341004,Urbano
Puebla,2274.59616111899,2729.51539334278,Urbano
Hidalgo,2282.61480956588,2739.13777147905,Urbano
México,2359.05060081355,2830.86072097626,Urbano
Veracruz,2382.61951050013,2859.14341260016,Urbano
Morelos,2418.94305522359,2902.73166626831,Urbano
Chiapas,2453.16439637208,2943.79727564649,Urbano
Durango,2500.07540353491,3000.09048424189,Urbano
Nacional,2523.68154616818,3028.41785540182,Urbano
Michoacán,2545.14391446245,3054.17269735494,Urbano
Zacatecas,2550.60130474251,3060.72156569102,Urbano
Guanajuato,2560.03539272825,3072.0424712739,Urbano
Yucatán,2565.92129666905,3079.10555600286,Urbano
Aguascalientes,2573.27668806843,3087.93202568211,Urbano
Oaxaca,2608.07904140422,3129.69484968506,Urbano
Tabasco,2609.42454797237,3131.30945756684,Urbano
Ciudad de México,2615.52924251892,3138.6350910227,Urbano
Coahuila,2644.46137234728,3173.35364681674,Urbano
San Luis Potosí,2663.05415822347,3195.66498986817,Urbano
Guerrero,2683.0919677666,3219.71036131991,Urbano
Querétaro,2698.63734119839,3238.36480943807,Urbano
Sonora,2727.09994768259,3272.51993721911,Urbano
Tamaulipas,2743.84490608081,3292.61388729697,Urbano
Campeche,2771.01799612169,3325.22159534603,Urbano
Jalisco,2790.86198470621,3349.03438164745,Urbano
Colima,2805.69515452275,3366.8341854273,Urbano
Nayarit,2851.22098972244,3421.46518766693,Urbano
Nuevo León,2871.46716537953,3445.76059845543,Urbano
Chihuahua,2889.81565245087,3467.77878294104,Urbano
Quintana Roo,2905.72260325296,3486.86712390355,Urbano
Sinaloa,2931.41499031797,3517.69798838157,Urbano
Baja California,2976.22934626754,3571.47521552105,Urbano
Baja California Sur,3220.22229527336,3864.26675432803,Urbano
