metodo,categoria,regresor,ambito,elasticidad,std_error,ci_low,ci_high,p_value,n_obs
Log-Log,NANV,gasto_mon,Nacional,1.26702852309718,0.0060288770223051,1.25521068124086,1.27884636495349,0,75305
Log-Log,NANV,gasto_mon,Rural,1.30488811758814,0.012010064429776,1.28133010198824,1.32844613318804,0,28809
Log-Log,NANV,gasto_mon,Urbano,1.29209230342729,0.00748964587814124,1.27741070911958,1.306773897735,0,46496
Log-Log,NANV,ing_cor,Nacional,0.890942086678972,0.00790138871128291,0.87545373588168,0.906430437476263,0,75305
Log-Log,NANV,ing_cor,Rural,0.81271835779537,0.0153474122155779,0.782614058313325,0.842822657277415,0,28809
Log-Log,NANV,ing_cor,Urbano,0.893029099274095,0.00994435580215776,0.873535654602046,0.912522543946145,0,46496
Log-Log,alimentos,gasto_mon,Nacional,0.814880017953385,0.00371385023946135,0.807600105849423,0.822159930057348,0,75305
Log-Log,alimentos,gasto_mon,Rural,0.888942000024085,0.00707306163553119,0.875068028129666,0.902815971918504,0,28809
Log-Log,alimentos,gasto_mon,Urbano,0.806226847215937,0.0044942910926655,0.797416903515416,0.815036790916458,0,46496
Log-Log,alimentos,ing_cor,Nacional,0.570910980244079,0.00493297833921692,0.561241325733331,0.580580634754828,0,75305
Log-Log,alimentos,ing_cor,Rural,0.501927729292549,0.0105698529278173,0.481194721437505,0.522660737147594,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000921124555241804,28809
Log-Log,alimentos,ing_cor,Urbano,0.562306773257974,0.00575878450222713,0.551018103654252,0.573595442861697,0,46496
Log-Log,vivienda,gasto_mon,Nacional,0.940810817646206,0.00483003888980843,0.931342945677942,0.95027868961447,0,75305
Log-Log,vivienda,gasto_mon,Rural,0.822514229253166,0.00976764500137932,0.803354770562315,0.841673687944017,0,28809
Log-Log,vivienda,gasto_mon,Urbano,0.900570910059669,0.00570303484241959,0.889391523845496,0.911750296273843,0,46496
Log-Log,vivienda,ing_cor,Nacional,0.875420520014945,0.00515524554221502,0.865315175964477,0.885525864065413,0,75305
Log-Log,vivienda,ing_cor,Rural,0.696758948604514,0.0104239382818975,0.676312155659051,0.717205741549977,0,28809
Log-Log,vivienda,ing_cor,Urbano,0.852134957417262,0.00628082968526635,0.839822947629988,0.864446967204536,0,46496
Working-Leser,NANV,gasto_mon,Nacional,1.22195227530038,0.00416201965155424,1.21379471678333,1.23010983381742,0,75305
Working-Leser,NANV,gasto_mon,Rural,1.24177044123924,0.00814517291799615,1.22580590231997,1.25773498015852,0,28809
Working-Leser,NANV,gasto_mon,Urbano,1.24651321598684,0.00494630942727312,1.23681844950939,1.2562079824643,0,46496
Working-Leser,alimentos,gasto_mon,Nacional,0.845229692991626,0.00293435435386035,0.83947835845806,0.850981027525193,0,75305
Working-Leser,alimentos,gasto_mon,Rural,0.906306236532916,0.00586204708424926,0.894816624247788,0.917795848818045,0,28809
Working-Leser,alimentos,gasto_mon,Urbano,0.840649592358439,0.00358322812794829,0.83362646522766,0.847672719489217,0,46496
Working-Leser,vivienda,gasto_mon,Nacional,0.955241139125388,0.00425273353330725,0.946905781400106,0.96357649685067,0,75305
Working-Leser,vivienda,gasto_mon,Rural,0.830595159282145,0.00840131929778571,0.814128573458486,0.847061745105805,0,28809
Working-Leser,vivienda,gasto_mon,Urbano,0.924202612927222,0.00506799615742635,0.914269340458666,0.934135885395777,0,46496
