nom_ent,cve_ent,rural,vivienda,NANV
Yucatán,31,1,3235.13167008034,7379.87598612606
Ciudad de México,9,1,4894.77615230381,7162.33759739369
Baja California,2,0,8290.94529397945,6864.65330853753
Tabasco,27,0,4405.48644891158,6770.42740305577
Campeche,4,1,3590.19210566379,6753.70444405141
Guerrero,12,0,3746.97108637581,6691.51587564357
Baja California Sur,3,0,6965.55576963334,6185.39796886185
Yucatán,31,0,4688.05336171879,6173.02594560579
Quintana Roo,23,0,5666.93227276437,6038.57844009643
Baja California,2,1,5721.41518577395,5990.80717030248
Campeche,4,0,5202.57407938992,5958.0857632784
Sinaloa,25,0,5395.57072602077,5699.21502508813
Sonora,26,0,5772.2777276216,5674.55273871541
Oaxaca,20,0,4062.0713294626,5657.54979044145
Querétaro,22,0,5665.33001256207,5629.27906263788
Ciudad de México,9,0,7093.0565231365,5288.29743057689
Tabasco,27,1,3040.13790656988,5238.65063860679
Querétaro,22,1,3909.53070089982,5224.04123908932
Guerrero,12,1,2585.70965241006,5205.1121770866
México,15,0,4236.71976758708,5200.17340717177
Puebla,21,0,3735.03694733838,5174.84170291314
Quintana Roo,23,1,3910.63638855399,5058.52799627126
Jalisco,14,0,4273.6820578994,5050.9738648282
Coahuila,5,1,3011.79578098969,5028.5097702839
Sinaloa,25,1,3723.37522359355,5002.84209259869
Nacional,33,0,4520.83308993459,4993.53316395565
Colima,6,1,2729.88437534476,4906.3230348492
Chiapas,7,0,3846.23095439135,4890.95131540016
Coahuila,5,0,4364.41566396231,4850.84618246548
Michoacán,16,0,3504.52639724575,4793.16037813046
Jalisco,14,1,2949.18233786815,4789.1583304535
Nuevo León,19,0,4887.13265679403,4768.64270323517
Colima,6,0,3955.89574956025,4759.85353151954
Guanajuato,11,0,3666.08731522796,4721.73821719384
Nayarit,18,0,3912.25802863729,4719.64514608205
Baja California Sur,3,1,4806.79043759643,4714.5861703197
Aguascalientes,1,0,3819.22121135606,4542.54333945175
Tamaulipas,28,0,3943.42267750577,4483.44580522284
Veracruz,30,0,3844.55694569065,4455.83940984827
Durango,10,0,3474.86326687877,4443.455111886
San Luis Potosí,24,0,4077.86097075496,4431.21226787886
Oaxaca,20,1,2803.15401513514,4384.93417823607
San Luis Potosí,24,1,2814.05013014552,4311.66252382639
Nacional,33,1,3036.21425768233,4306.20096567148
Nuevo León,19,1,3372.51230179717,4304.83936432384
México,15,1,2923.67540209721,4272.00213493288
Chiapas,7,1,2654.20689802745,4259.22163992971
Chihuahua,8,0,5147.71924354278,4251.54959690173
Durango,10,1,2397.93349957877,4229.24206974231
Veracruz,30,1,2653.05169817246,4221.96660452682
Morelos,17,0,3682.41255686634,4205.67478013219
Puebla,21,1,2577.4741422364,4176.68480455171
Zacatecas,32,0,3041.73605795264,4118.86612557928
Chihuahua,8,1,3552.33788280975,4111.98447569771
Sonora,26,1,3983.33317568755,4047.09825704728
Hidalgo,13,0,3438.17378654828,4037.72360880168
Michoacán,16,1,2418.40343135632,4007.41999131917
Guanajuato,11,1,2529.89338295958,3892.10712496522
Nayarit,18,1,2699.77085869395,3819.59019464864
Tlaxcala,29,0,2674.79200790654,3799.29894289374
Aguascalientes,1,1,2635.56801567007,3774.43919166439
Tamaulipas,28,1,2721.27695829695,3693.44501536979
Morelos,17,1,2541.15910503461,3593.87817654795
Hidalgo,13,1,2372.61482450882,3032.87176249064
Tlaxcala,29,1,1845.82035825711,3012.27872026373
Zacatecas,32,1,2099.04109314577,2832.65335622138
