cve_ent,nom_ent,rural,percentil_referencia
1,Aguascalientes,1,0.357966431578893
2,Baja California,1,0.523894417127352
3,Baja California Sur,1,0.39501460251088
4,Campeche,1,0.797625619671187
5,Coahuila,1,0.555636549869943
6,Colima,1,0.434861323892706
7,Chiapas,1,0.786308571882719
8,Chihuahua,1,0.425536462216655
9,Ciudad de México,1,0.569757550561295
10,Durango,1,0.555373434332016
11,Guanajuato,1,0.513564911613748
12,Guerrero,1,0.762901606804384
13,Hidalgo,1,0.439844851451232
14,Jalisco,1,0.451071297515754
15,México,1,0.464103973681755
16,Michoacán,1,0.466574540423853
17,Morelos,1,0.438570521479463
18,Nayarit,1,0.410725229829038
19,Nuevo León,1,0.358315122601526
20,Oaxaca,1,0.703383864191103
21,Puebla,1,0.596471636862175
22,Querétaro,1,0.490012051279988
23,Quintana Roo,1,0.463590503348511
24,San Luis Potosí,1,0.545116223163035
25,Sinaloa,1,0.54828519188575
26,Sonora,1,0.395230330469832
27,Tabasco,1,0.722293410497957
28,Tamaulipas,1,0.392136872817391
29,Tlaxcala,1,0.399755010683121
30,Veracruz,1,0.637620234318701
31,Yucatán,1,0.752097499065974
32,Zacatecas,1,0.36836473491908
33,Nacional,1,0.499087844138081
1,Aguascalientes,0,0.465949755196913
2,Baja California,0,0.607659213265657
3,Baja California Sur,0,0.543451912338071
4,Campeche,0,0.743627724668115
5,Coahuila,0,0.53387933508147
6,Colima,0,0.416545202449675
7,Chiapas,0,0.819316987165989
8,Chihuahua,0,0.44438939472529
9,Ciudad de México,0,0.39556841156776
10,Durango,0,0.583308740639091
11,Guanajuato,0,0.623700971941781
12,Guerrero,0,0.840122535270653
13,Hidalgo,0,0.616738553979918
14,Jalisco,0,0.482133489283889
15,México,0,0.593928302763603
16,Michoacán,0,0.588822969343935
17,Morelos,0,0.545733173779195
18,Nayarit,0,0.538285629465978
19,Nuevo León,0,0.416617246724942
20,Oaxaca,0,0.793837071261656
21,Puebla,0,0.693459961478922
22,Querétaro,0,0.520006929533614
23,Quintana Roo,0,0.567371180742704
24,San Luis Potosí,0,0.553306170092783
25,Sinaloa,0,0.623443936018212
26,Sonora,0,0.589479343693528
27,Tabasco,0,0.820488151204369
28,Tamaulipas,0,0.513657546372022
29,Tlaxcala,0,0.570642370004394
30,Veracruz,0,0.665204022819731
31,Yucatán,0,0.671102733806223
32,Zacatecas,0,0.593341590877423
33,Nacional,0,0.580658671218966
