nom_ent,cve_ent,ambito,clave_enigh,nombre_enigh,codigo,serie_api,es_comida_fuera
Aguascalientes,1,Urbano,011111,Arroz en grano,001,894972,FALSE
Aguascalientes,1,Urbano,011131,Tortillas de maíz,014,894958,FALSE
Aguascalientes,1,Urbano,011132,Tortillas de harina de trigo,015,894970,FALSE
Aguascalientes,1,Urbano,011133,Pan,008,894961,FALSE
Aguascalientes,1,Urbano,011134,Pan de caja,009,894962,FALSE
Aguascalientes,1,Urbano,011135,Galletas dulces,004,894967,FALSE
Aguascalientes,1,Urbano,011137,Pan dulce a granel,010,894963,FALSE
Aguascalientes,1,Urbano,011150,"Spaghetti, pastas italianas y pastas para sopa",011,894969,FALSE
Aguascalientes,1,Urbano,011192,Tostadas,016,894959,FALSE
Aguascalientes,1,Urbano,011221,Bistec de res,018,894981,FALSE
Aguascalientes,1,Urbano,011224,Molida de res,018,894981,FALSE
Aguascalientes,1,Urbano,01122F,"Pollo entero o en piezas (excepto pierna, muslo y pechuga)",022,894976,FALSE
Aguascalientes,1,Urbano,011231,Jamón de puerco,021,894986,FALSE
Aguascalientes,1,Urbano,011252,Chorizo de puerco,020,894985,FALSE
Aguascalientes,1,Urbano,011411,Leche entera fresca,034,894998,FALSE
Aguascalientes,1,Urbano,011433,Crema,030,895005,FALSE
Aguascalientes,1,Urbano,011451,Queso fresco,037,895007,FALSE
Aguascalientes,1,Urbano,011454,Queso Oaxaca o asadero,039,895009,FALSE
Aguascalientes,1,Urbano,011460,Yogurt y bebidas fermentadas a base de leche,041,895011,FALSE
Aguascalientes,1,Urbano,011481,Huevo de gallina,031,895015,FALSE
Aguascalientes,1,Urbano,011512,Otros aceites vegetales comestibles,042,895018,FALSE
Aguascalientes,1,Urbano,011592,Chicharrón,019,894984,FALSE
Aguascalientes,1,Urbano,011611,Aguacate,045,895021,FALSE
Aguascalientes,1,Urbano,011616,"Otros plátanos: Chiapas, dominico, guineo, manzano, dorado, portalimón y Roatán",055,895031,FALSE
Aguascalientes,1,Urbano,011621,Limón,048,895024,FALSE
Aguascalientes,1,Urbano,011633,Manzana y perón,049,895025,FALSE
Aguascalientes,1,Urbano,011712,Lechuga,071,895043,FALSE
Aguascalientes,1,Urbano,011721,Calabaza,060,895036,FALSE
Aguascalientes,1,Urbano,011722,Chayote,062,895038,FALSE
Aguascalientes,1,Urbano,011725,Chile serrano,065,895040,FALSE
Aguascalientes,1,Urbano,011727,Jitomate (tomate rojo),070,895042,FALSE
Aguascalientes,1,Urbano,011728,Pepino,075,895046,FALSE
Aguascalientes,1,Urbano,011729,Tomate verde,076,895047,FALSE
Aguascalientes,1,Urbano,011743,Cebolla,061,895037,FALSE
Aguascalientes,1,Urbano,011746,Nopal,072,895044,FALSE
Aguascalientes,1,Urbano,011748,Zanahoria,078,895048,FALSE
Aguascalientes,1,Urbano,011751,Papa,073,895045,FALSE
Aguascalientes,1,Urbano,011761,Frijol en grano,068,895054,FALSE
Aguascalientes,1,Urbano,011797,Frijol procesado,069,895059,FALSE
Aguascalientes,1,Urbano,011810,Azúcar,082,895066,FALSE
Aguascalientes,1,Urbano,011911,Alimentos preparados para consumo inmediato,269,895092,FALSE
Aguascalientes,1,Urbano,011942,Cilantro,087,895051,FALSE
Aguascalientes,1,Urbano,012100,Jugos de frutas o verduras envasados,095,895063,FALSE
Aguascalientes,1,Urbano,012201,Café soluble,096,895068,FALSE
Aguascalientes,1,Urbano,012501,Agua natural embotellada,099,895072,FALSE
Aguascalientes,1,Urbano,012601,Refrescos sabor cola,100,895073,FALSE
Aguascalientes,1,Urbano,012602,Refrescos de otros sabores,100,895073,FALSE
Aguascalientes,1,Urbano,111111,Desayunos,25,895087,TRUE
Aguascalientes,1,Urbano,111112,Comidas,25,895087,TRUE
Aguascalientes,1,Urbano,111113,Cenas,25,895087,TRUE
Aguascalientes,1,Urbano,111124,Otros alimentos cocinados,269,895092,FALSE
Aguascalientes,1,Urbano,111126,Pollos rostizados,267,895091,FALSE
