nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Rural,2018-08-01,Alimentos,1929.40583481203
Aguascalientes,1,Rural,2018-08-01,Vivienda,3051.72878278514
Aguascalientes,1,Rural,2018-08-01,NANV,2770.12145720845
Aguascalientes,1,Rural,2018-09-01,Alimentos,1923.30842228141
Aguascalientes,1,Rural,2018-09-01,Vivienda,3070.4439393236
Aguascalientes,1,Rural,2018-09-01,NANV,2782.32087471226
Aguascalientes,1,Rural,2018-10-01,Alimentos,1912.71073234803
Aguascalientes,1,Rural,2018-10-01,Vivienda,3078.46036630994
Aguascalientes,1,Rural,2018-10-01,NANV,2783.53255500609
Aguascalientes,1,Rural,2018-11-01,Alimentos,1964.80323305089
Aguascalientes,1,Rural,2018-11-01,Vivienda,3061.81789811776
Aguascalientes,1,Rural,2018-11-01,NANV,2797.27411106569
Aguascalientes,1,Rural,2018-12-01,Alimentos,1984.15832954232
Aguascalientes,1,Rural,2018-12-01,Vivienda,3061.17780318729
Aguascalientes,1,Rural,2018-12-01,NANV,2812.08965647664
Aguascalientes,1,Rural,2019-01-01,Alimentos,2003.81309625408
Aguascalientes,1,Rural,2019-01-01,Vivienda,3081.81324451715
Aguascalientes,1,Rural,2019-01-01,NANV,2826.35443811766
Aguascalientes,1,Rural,2019-02-01,Alimentos,1966.42761659229
Aguascalientes,1,Rural,2019-02-01,Vivienda,3095.83437156551
Aguascalientes,1,Rural,2019-02-01,NANV,2826.98781645307
Aguascalientes,1,Rural,2019-03-01,Alimentos,1963.62984414633
Aguascalientes,1,Rural,2019-03-01,Vivienda,3094.43225886067
Aguascalientes,1,Rural,2019-03-01,NANV,2834.53328010103
Aguascalientes,1,Rural,2019-04-01,Alimentos,1960.22427969606
Aguascalientes,1,Rural,2019-04-01,Vivienda,3092.17668624854
Aguascalientes,1,Rural,2019-04-01,NANV,2830.4025518266
Aguascalientes,1,Rural,2019-05-01,Alimentos,1967.72525186763
Aguascalientes,1,Rural,2019-05-01,Vivienda,3096.6878314728
Aguascalientes,1,Rural,2019-05-01,NANV,2836.13049503381
Aguascalientes,1,Rural,2019-06-01,Alimentos,1978.47514056158
Aguascalientes,1,Rural,2019-06-01,Vivienda,3086.72063898408
Aguascalientes,1,Rural,2019-06-01,NANV,2838.60893199847
Aguascalientes,1,Rural,2019-07-01,Alimentos,2040.69282938156
Aguascalientes,1,Rural,2019-07-01,Vivienda,3089.31149941692
Aguascalientes,1,Rural,2019-07-01,NANV,2858.35381315023
Aguascalientes,1,Rural,2019-08-01,Alimentos,2000.33415823743
Aguascalientes,1,Rural,2019-08-01,Vivienda,3094.61514312652
Aguascalientes,1,Rural,2019-08-01,NANV,2862.45700323616
Aguascalientes,1,Rural,2019-09-01,Alimentos,1993.84561113373
Aguascalientes,1,Rural,2019-09-01,Vivienda,3100.40647821171
Aguascalientes,1,Rural,2019-09-01,NANV,2870.03000507261
Aguascalientes,1,Rural,2019-10-01,Alimentos,1988.68909149562
Aguascalientes,1,Rural,2019-10-01,Vivienda,3110.12982501263
Aguascalientes,1,Rural,2019-10-01,NANV,2884.07448120567
