date,ambito,componente,valor
2018-08-01,Rural,Alimentos,1846.27313541888
2018-08-01,Rural,Vivienda,3455.39186936331
2018-08-01,Rural,NANV,3181.59843134302
2018-09-01,Rural,Alimentos,1847.42460846816
2018-09-01,Rural,Vivienda,3477.84134698285
2018-09-01,Rural,NANV,3195.05402316447
2018-10-01,Rural,Alimentos,1844.45961261057
2018-10-01,Rural,Vivienda,3525.84391663937
2018-10-01,Rural,NANV,3211.61231615886
2018-11-01,Rural,Alimentos,1872.44524959135
2018-11-01,Rural,Vivienda,3579.05366159629
2018-11-01,Rural,NANV,3238.93508261041
2018-12-01,Rural,Alimentos,1910.23306214728
2018-12-01,Rural,Vivienda,3584.08841387348
2018-12-01,Rural,NANV,3261.63545751859
2019-01-01,Rural,Alimentos,1917.99150208267
2019-01-01,Rural,Vivienda,3587.53687433731
2019-01-01,Rural,NANV,3264.42155653103
2019-02-01,Rural,Alimentos,1892.0916329043
2019-02-01,Rural,Vivienda,3596.08905628761
2019-02-01,Rural,NANV,3263.50341026557
2019-03-01,Rural,Alimentos,1893.81897240275
2019-03-01,Rural,Vivienda,3607.43449121361
2019-03-01,Rural,NANV,3276.0725160376
2019-04-01,Rural,Alimentos,1901.80593831004
2019-04-01,Rural,Vivienda,3566.57023471722
2019-04-01,Rural,NANV,3277.81382792038
2019-05-01,Rural,Alimentos,1913.60094624654
2019-05-01,Rural,Vivienda,3506.18769199554
2019-05-01,Rural,NANV,3268.37908353734
2019-06-01,Rural,Alimentos,1929.50243778755
2019-06-01,Rural,Vivienda,3494.66983404634
2019-06-01,Rural,NANV,3270.46865779667
2019-07-01,Rural,Alimentos,1951.62342355593
2019-07-01,Rural,Vivienda,3491.77312725672
2019-07-01,Rural,NANV,3282.75282162425
2019-08-01,Rural,Alimentos,1927.21590226819
2019-08-01,Rural,Vivienda,3495.22158772055
2019-08-01,Rural,NANV,3282.21459795139
2019-09-01,Rural,Alimentos,1920.8493058286
2019-09-01,Rural,Vivienda,3503.42892362447
2019-09-01,Rural,NANV,3290.82617671711
2019-10-01,Rural,Alimentos,1914.95604289724
2019-10-01,Rural,Vivienda,3561.88032848641
2019-10-01,Rural,NANV,3308.58755792142
2019-11-01,Rural,Alimentos,1925.14053265256
2019-11-01,Rural,Vivienda,3637.78094329533
2019-11-01,Rural,NANV,3335.27712005196
2019-12-01,Rural,Alimentos,1940.11602600682
2019-12-01,Rural,Vivienda,3650.05746254657
2019-12-01,Rural,NANV,3353.89332708964
2020-01-01,Rural,Alimentos,1965.97340717328
2020-01-01,Rural,Vivienda,3651.81617738312
2020-01-01,Rural,NANV,3370.13501792352
2020-02-01,Rural,Alimentos,1990.68328223353
2020-02-01,Rural,Vivienda,3655.88536073044
2020-02-01,Rural,NANV,3384.12883341783
2020-03-01,Rural,Alimentos,2013.69660915536
2020-03-01,Rural,Vivienda,3664.127181239
2020-03-01,Rural,NANV,3382.51416239925
2020-04-01,Rural,Alimentos,2011.06043879501
2020-04-01,Rural,Vivienda,3628.53906925226
2020-04-01,Rural,NANV,3348.2261484166
2020-05-01,Rural,Alimentos,2024.69541116225
2020-05-01,Rural,Vivienda,3571.08771792484
2020-05-01,Rural,NANV,3361.11185634914
2020-06-01,Rural,Alimentos,2021.48094147616
2020-06-01,Rural,Vivienda,3584.29532150131
2020-06-01,Rural,NANV,3379.50644187446
2020-07-01,Rural,Alimentos,2032.57704951231
2020-07-01,Rural,Vivienda,3595.70972563659
