nom_ent,cve_ent,ambito,rural,date,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
Aguascalientes,1,Rural,1,2018-08-01,1929.40583481203,3051.72878278514,2770.12145720845,7717.62333924814,11080.4858288338,22942.3298484104,11471.1649242052
Aguascalientes,1,Rural,1,2018-09-01,1923.30842228141,3070.4439393236,2782.32087471226,7693.23368912564,11129.283498849,22987.6091836632,11493.8045918316
Aguascalientes,1,Rural,1,2018-10-01,1912.71073234803,3078.46036630994,2783.53255500609,7650.84292939213,11134.1302200244,22956.6051915128,11478.3025957564
Aguascalientes,1,Rural,1,2018-11-01,1964.80323305089,3061.81789811776,2797.27411106569,7859.21293220355,11189.0964442628,23215.6336383133,11607.8168191566
Aguascalientes,1,Rural,1,2018-12-01,1984.15832954232,3061.17780318729,2812.08965647664,7936.6333181693,11248.3586259065,23358.4782346263,11679.2391173132
Aguascalientes,1,Rural,1,2019-01-01,2003.81309625408,3081.81324451715,2826.35443811766,8015.25238501633,11305.4177524706,23522.6075511043,11761.3037755522
Aguascalientes,1,Rural,1,2019-02-01,1966.42761659229,3095.83437156551,2826.98781645307,7865.71046636915,11307.9512658123,23382.9709089343,11691.4854544672
Aguascalientes,1,Rural,1,2019-03-01,1963.62984414633,3094.43225886067,2834.53328010103,7854.51937658533,11338.1331204041,23401.4389936426,11700.7194968213
Aguascalientes,1,Rural,1,2019-04-01,1960.22427969606,3092.17668624854,2830.4025518266,7840.89711878423,11321.6102073064,23367.4182129561,11683.7091064781
Aguascalientes,1,Rural,1,2019-05-01,1967.72525186763,3096.6878314728,2836.13049503381,7870.90100747053,11344.5219801352,23427.7163600325,11713.8581800162
Aguascalientes,1,Rural,1,2019-06-01,1978.47514056158,3086.72063898408,2838.60893199847,7913.90056224632,11354.4357279939,23472.8097756855,11736.4048878427
Aguascalientes,1,Rural,1,2019-07-01,2040.69282938156,3089.31149941692,2858.35381315023,8162.77131752624,11433.4152526009,23819.7729730213,11909.8864865106
Aguascalientes,1,Rural,1,2019-08-01,2000.33415823743,3094.61514312652,2862.45700323616,8001.33663294973,11449.8280129447,23673.0687784719,11836.534389236
Aguascalientes,1,Rural,1,2019-09-01,1993.84561113373,3100.40647821171,2870.03000507261,7975.38244453493,11480.1200202905,23683.704390189,11841.8521950945
Aguascalientes,1,Rural,1,2019-10-01,1988.68909149562,3110.12982501263,2884.07448120567,7954.75636598248,11536.2979248227,23731.2433216087,11865.6216608043
Aguascalientes,1,Rural,1,2019-11-01,2005.01194744752,3120.06653679038,2894.09838181828,8020.04778979006,11576.3935272731,23852.3332465463,11926.1666232731
