date,ambito,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
2018-08-01,Rural,1846.27313541888,3455.39186936331,3181.59843134302,7385.09254167551,12726.3937253721,24745.2220432314,12372.6110216157
2018-09-01,Rural,1847.42460846816,3477.84134698285,3195.05402316447,7389.69843387263,12780.2160926579,24830.143667189,12415.0718335945
2018-10-01,Rural,1844.45961261057,3525.84391663937,3211.61231615886,7377.83845044227,12846.4492646354,24937.6382133029,12468.8191066515
2018-11-01,Rural,1872.44524959135,3579.05366159629,3238.93508261041,7489.78099836538,12955.7403304416,25225.8037399235,12612.9018699617
2018-12-01,Rural,1910.23306214728,3584.08841387348,3261.63545751859,7640.93224858913,13046.5418300744,25485.1406171638,12742.5703085819
2019-01-01,Rural,1917.99150208267,3587.53687433731,3264.42155653103,7671.96600833069,13057.6862261241,25533.0485642317,12766.5242821159
2019-02-01,Rural,1892.0916329043,3596.08905628761,3263.50341026557,7568.3665316172,13054.0136410623,25429.3926904154,12714.6963452077
2019-03-01,Rural,1893.81897240275,3607.43449121361,3276.0725160376,7575.27588961099,13104.2900641504,25501.3504672238,12750.6752336119
2019-04-01,Rural,1901.80593831004,3566.57023471722,3277.81382792038,7607.22375324016,13111.2553116815,25499.3017646208,12749.6508823104
2019-05-01,Rural,1913.60094624654,3506.18769199554,3268.37908353734,7654.40378498617,13073.5163341494,25445.8132016876,12722.9066008438
2019-06-01,Rural,1929.50243778755,3494.66983404634,3270.46865779667,7718.00975115021,13081.8746311867,25509.2819272024,12754.6409636012
2019-07-01,Rural,1951.62342355593,3491.77312725672,3282.75282162425,7806.49369422371,13131.011286497,25650.7420133763,12825.3710066881
2019-08-01,Rural,1927.21590226819,3495.22158772055,3282.21459795139,7708.86360907276,13128.8583918056,25549.5907680288,12774.7953840144
2019-09-01,Rural,1920.8493058286,3503.42892362447,3290.82617671711,7683.39722331441,13163.3047068685,25567.6373964977,12783.8186982489
2019-10-01,Rural,1914.95604289724,3561.88032848641,3308.58755792142,7659.82417158897,13234.3502316857,25678.8574683491,12839.4287341746
2019-11-01,Rural,1925.14053265256,3637.78094329533,3335.27712005196,7700.56213061026,13341.1084802079,25913.4241318191,12956.7120659096
2019-12-01,Rural,1940.11602600682,3650.05746254657,3353.89332708964,7760.46410402728,13415.5733083585,26067.399618679,13033.6998093395
2020-01-01,Rural,1965.97340717328,3651.81617738312,3370.13501792352,7863.89362869312,13480.5400716941,26246.0623716588,13123.0311858294
2020-02-01,Rural,1990.68328223353,3655.88536073044,3384.12883341783,7962.73312893413,13536.5153336713,26412.8905145027,13206.4452572513
2020-03-01,Rural,2013.69660915536,3664.127181239,3382.51416239925,8054.78643662143,13530.056649597,26511.4187808303,13255.7093904152
2020-04-01,Rural,2011.06043879501,3628.53906925226,3348.2261484166,8044.24175518003,13392.9045936664,26318.9696890036,13159.4848445018
2020-05-01,Rural,2024.69541116225,3571.08771792484,3361.11185634914,8098.78164464899,13444.4474253966,26370.0326273689,13185.0163136845
2020-06-01,Rural,2021.48094147616,3584.29532150131,3379.50644187446,8085.92376590466,13518.0257674978,26447.657097649,13223.8285488245
2020-07-01,Rural,2032.57704951231,3595.70972563659,3401.70025332583,8130.30819804924,13606.8010133033,26599.4598838386,13299.7299419193
2020-08-01,Rural,2044.16257850492,3608.91732921306,3415.09252471518,8176.65031401966,13660.3700988607,26718.2346291981,13359.1173145991
2020-09-01,Rural,2055.13731735963,3611.88300521196,3422.91259807964,8220.54926943854,13691.6503923186,26800.2868003175,13400.1434001588
2020-10-01,Rural,2058.24845546957,3670.29992546925,3443.80834067295,8232.99382187827,13775.2333626918,26962.4534655413,13481.2267327706
2020-11-01,Rural,2056.20231496224,3744.0624947906,3446.40447838908,8224.80925984895,13785.6179135563,27042.2141516057,13521.1070758028
2020-12-01,Rural,2062.06106907054,3757.27009836707,3459.54346805003,8248.24427628214,13838.1738722001,27135.8726591918,13567.9363295959
2021-01-01,Rural,2082.41567145122,3797.20327053823,3489.27241092141,8329.66268580489,13957.0896436856,27388.1533800302,13694.0766900151
2021-02-01,Rural,2098.75651422729,3819.5837789485,3511.33958150858,8395.02605690915,14045.3583260343,27572.9665699866,13786.4832849933
2021-03-01,Rural,2119.67270882194,3850.48198470442,3540.37199962686,8478.69083528775,14161.4879985074,27815.1938594246,13907.5969297123
2021-04-01,Rural,2150.44973404567,3810.82468937037,3551.95963870133,8601.79893618267,14207.8385548053,27951.4852893763,13975.7426446881
2021-05-01,Rural,2180.82350701293,3744.89012530192,3559.20982817688,8723.29402805172,14236.8393127075,28040.2746393642,14020.1373196821
2021-06-01,Rural,2181.99782242752,3765.44294966635,3578.17429759111,8727.99128971008,14312.6971903644,28146.4380012279,14073.219000614
2021-07-01,Rural,2204.89124119551,3798.30677788666,3599.19668104861,8819.56496478203,14396.7867241945,28365.3913902063,14182.6956951032
2021-08-01,Rural,2227.70282186509,3741.40718023345,3606.06694793157,8910.81128746034,14424.2677917263,28430.3105723911,14215.1552861955
2021-09-01,Rural,2234.39142524267,3768.61553329308,3628.29241959899,8937.5657009707,14513.169678396,28580.3184582927,14290.1592291464
2021-10-01,Rural,2239.46678521163,3857.75823628311,3658.68622700743,8957.86714084653,14634.7449080297,28822.8887994173,14411.4443997087
2021-11-01,Rural,2292.68001613894,3933.93472792913,3700.57269284219,9170.72006455575,14802.2907713688,29302.2928420463,14651.1464210232
2021-12-01,Rural,2306.87910614448,3889.96685701529,3713.99662444759,9227.51642457791,14855.9864977904,29372.1432683527,14686.0716341764
2022-01-01,Rural,2345.57982170644,3898.86388501197,3735.96881438661,9382.31928682577,14943.8752575464,29636.3113508534,14818.1556754267
2022-02-01,Rural,2376.26583789913,3931.14147495343,3766.96416590001,9505.0633515965,15067.8566636,29929.2645646575,14964.6322823287
2022-03-01,Rural,2400.94230215149,3975.41970730902,3804.25990040746,9603.76920860597,15217.0396016298,30236.0399434221,15118.019971711
2022-04-01,Rural,2423.63298761603,3937.62458062543,3824.83904084026,9694.53195046413,15299.356163361,30378.0883291731,15189.0441645866
2022-05-01,Rural,2442.54763684712,3873.24182376571,3831.58266685901,9770.19054738848,15326.330667436,30418.2511905197,15209.1255952599
2022-06-01,Rural,2477.61146729515,3882.51818241341,3863.93940766258,9910.44586918061,15455.7576306503,30711.1577663566,15355.5788831783
2022-07-01,Rural,2504.11871820778,3897.8983160821,3892.56024297219,10016.4748728311,15570.2409718888,30958.8448688421,15479.4224344211
2022-08-01,Rural,2518.89446010814,3898.6224927795,3919.62972769534,10075.5778404326,15678.5189107814,31135.3552061931,15567.6776030966
2022-09-01,Rural,2545.73091143992,3890.31170306167,3943.94477362209,10182.9236457597,15775.7790944884,31341.4651654752,15670.7325827376
2022-10-01,Rural,2553.27368915202,3910.93349663538,3966.26522593767,10213.0947566081,15865.0609037507,31488.5436148438,15744.2718074219
2022-11-01,Rural,2556.30675018846,3975.45419191366,3989.09224171005,10225.2270007538,15956.3689668402,31664.9026674831,15832.4513337415
2022-12-01,Rural,2573.10518094551,3962.10864991863,4004.32080563033,10292.420723782,16017.2832225213,31785.4032260331,15892.7016130165
2023-01-01,Rural,2605.07544582715,3976.14388400643,4031.48527100162,10420.3017833086,16125.9410840065,32048.5060888876,16024.2530444438
2023-02-01,Rural,2623.70215678218,4000.07619962541,4053.96402439745,10494.8086271287,16215.8560975898,32246.2779705611,16123.1389852806
