cve_ent,pred,rural
1,10542.27206268769,1
2,22885.66074312131,1
3,19227.16175040426,1
4,14360.76842267753,1
5,12047.18312397151,1
6,10919.53750138977,1
7,10616.82759212096,1
8,14209.35153125356,1
9,19579.10460923316,1
10,9591.733998323616,1
11,10119.57353184631,1
12,10342.83860964896,1
13,9490.459298042495,1
14,11796.72935148242,1
15,11694.70160839852,1
16,9673.61372543419,1
17,10164.63642014859,1
18,10799.08343478674,1
19,13490.04920720119,1
20,11212.61606055088,1
21,10309.8965689544,1
22,15638.12280361159,1
23,15642.54555423165,1
24,11256.20052059229,1
25,14893.50089438749,1
26,15933.33270276588,1
27,12160.55162629499,1
28,10885.10783319823,1
29,7383.281433034812,1
30,10612.20679270054,1
31,12940.52668033662,1
32,8396.164372589221,1
33,12144.85703073968,1
1,15276.88484541868,0
2,33163.78117591944,0
3,27862.22307853054,0
4,20810.29631756986,0
5,17457.6626558491,0
6,15823.58299823972,0
7,15384.92381756514,0
8,20590.87697417022,0
9,28372.22609254173,0
10,13899.45306751265,0
11,14664.34926090779,0
12,14987.88434549985,0
13,13752.69514618895,0
14,17094.72823159357,0
15,16946.87907034425,0
16,14018.10558898093,0
17,14729.65022746435,0
18,15649.03211454835,0
19,19548.53062717335,0
20,16248.28531784805,0
21,14940.14778935035,0
22,22661.32005024197,0
23,22667.72909105603,0
24,16311.44388301721,0
25,21582.28290407936,0
26,23089.11091048445,0
27,17621.94579564994,0
28,15773.69071002134,0
29,10699.16803162396,0
30,15378.22778276169,0
31,18752.21344687728,0
32,12166.94423180648,0
33,18083.33235973592,0
