cve_ent,pred,rural
1,10542.27206268027,1
2,22885.66074309578,1
3,19227.16175038571,1
4,14360.76842265514,1
5,12047.18312395876,1
6,10919.53750137903,1
7,10616.8275921098,1
8,14209.35153123899,1
9,19579.10460921525,1
10,9591.73399831508,1
11,10119.5735318383,1
12,10342.83860964023,1
13,9490.459298035263,1
14,11796.7293514726,1
15,11694.70160838884,1
16,9673.613725425288,1
17,10164.63642013844,1
18,10799.08343477578,1
19,13490.04920718868,1
20,11212.61606054055,1
21,10309.89656894559,1
22,15638.12280359928,1
23,15642.54555421595,1
24,11256.20052058208,1
25,14893.50089437418,1
26,15933.3327027502,1
27,12160.5516262795,1
28,10885.10783318781,1
29,7383.281433028425,1
30,10612.20679268985,1
31,12940.52668032136,1
32,8396.164372583076,1
33,12144.8570307293,1
1,15276.88484542425,0
2,33163.78117591779,0
3,27862.22307853336,0
4,20810.29631755966,0
5,17457.66265584923,0
6,15823.58299824101,0
7,15384.92381756539,0
8,20590.8769741711,0
9,28372.22609254601,0
10,13899.45306751509,0
11,14664.34926091183,0
12,14987.88434550323,0
13,13752.69514619312,0
14,17094.7282315976,0
15,16946.87907034831,0
16,14018.105588983,0
17,14729.65022746535,0
18,15649.03211454916,0
19,19548.5306271761,0
20,16248.28531785041,0
21,14940.14778935353,0
22,22661.32005024829,0
23,22667.72909105748,0
24,16311.44388301982,0
25,21582.28290408308,0
26,23089.11091048638,0
27,17621.94579564631,0
28,15773.69071002308,0
29,10699.16803162615,0
30,15378.22778276261,0
31,18752.21344687515,0
32,12166.94423181055,0
33,18083.33235973836,0
