nom_ent,cve_ent,ambito,rural,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
Aguascalientes,1,Rural,1,2907.63517211525,3514.09068756009,3774.43919166439,11630.540688461,15097.7567666576,31754.5075498126,15877.2537749063
Aguascalientes,1,Urbano,0,3087.93202568211,5092.29494847475,4542.54333945175,12351.7281027284,18170.173357807,37394.9062294607,18697.4531147304
Baja California,2,Rural,1,3087.55817962239,7628.55358103193,5990.80717030248,12350.2327184896,23963.2286812099,46139.115729768,23069.557864884
Baja California,2,Urbano,0,3571.47521552105,11054.5937253059,6864.65330853753,14285.9008620842,27458.6132341501,55439.0632126173,27719.5316063086
Baja California Sur,3,Rural,1,3265.83841477561,6409.05391679524,4714.5861703197,13063.3536591024,18858.3446812788,40247.2898700353,20123.6449350177
Baja California Sur,3,Urbano,0,3864.26675432803,9287.40769284445,6185.39796886185,15457.0670173121,24741.5918754474,51960.3699148842,25980.1849574421
Campeche,4,Rural,1,2938.00448122363,4786.92280755171,6753.70444405141,11752.0179248945,27014.8177762056,45731.4464340845,22865.7232170422
Campeche,4,Urbano,0,3325.22159534603,6936.76543918655,5958.0857632784,13300.8863813841,23832.3430531136,46273.4946173685,23136.7473086842
Chiapas,7,Rural,1,2876.41654051725,3538.94253070327,4259.22163992971,11505.666162069,17036.8865597188,33685.5700151157,16842.7850075578
Chiapas,7,Urbano,0,2943.79727564649,5128.30793918846,4890.95131540016,11775.189102586,19563.8052616006,38290.6674185438,19145.3337092719
Chihuahua,8,Rural,1,3124.6644587668,4736.450510413,4111.98447569771,12498.6578350672,16447.9379027908,35367.1985606846,17683.5992803423
Chihuahua,8,Urbano,0,3467.77878294104,6863.62565805703,4251.54959690173,13871.1151317642,17006.1983876069,39627.9861362995,19813.9930681498
Ciudad de México,9,Rural,1,2685.87356834991,6526.36820307175,7162.33759739369,10743.4942733996,28649.3503895748,48215.1735093485,24107.5867546742
Ciudad de México,9,Urbano,0,3138.6350910227,9457.40869751534,5288.29743057689,12554.5403640908,21153.1897223076,45323.3957231094,22661.6978615547
Coahuila,5,Rural,1,2785.60314909054,4015.72770798625,5028.5097702839,11142.4125963622,20114.0390811356,37035.7883547582,18517.8941773791
Coahuila,5,Urbano,0,3173.35364681674,5819.22088528308,4850.84618246548,12693.414587267,19403.3847298619,39811.8212125326,19905.9106062663
Colima,6,Rural,1,3148.10270274083,3639.84583379301,4906.3230348492,12592.4108109633,19625.2921393968,37650.4262233608,18825.2131116804
Colima,6,Urbano,0,3366.8341854273,5274.52766608034,4759.85353151954,13467.3367417092,19039.4141260782,39670.3424605611,19835.1712302805
Durango,10,Rural,1,2917.30482178199,3197.24466610503,4229.24206974231,11669.219287128,16916.9682789692,33372.6038438123,16686.3019219062
Durango,10,Urbano,0,3000.09048424189,4633.15102250503,4443.455111886,12000.3619369676,17773.820447544,36127.7000773674,18063.8500386837
Guanajuato,11,Rural,1,2978.1830091318,3373.19117727943,3892.10712496522,11912.7320365272,15568.4284998609,32397.0692993509,16198.5346496755
Guanajuato,11,Urbano,0,3072.0424712739,4888.11642030394,4721.73821719384,12288.1698850956,18886.9528687754,37866.4011328837,18933.2005664418
Guerrero,12,Rural,1,3256.87193361454,3447.61286988008,5205.1121770866,13027.4877344582,20820.4487083464,39160.3267783189,19580.1633891594
Guerrero,12,Urbano,0,3219.71036131991,4995.96144850108,6691.51587564357,12878.8414452796,26766.0635025743,46872.9097161728,23436.4548580864
Hidalgo,13,Rural,1,2658.00377230502,3163.48643267842,3032.87176249064,10632.0150892201,12131.4870499626,27223.3380004541,13611.6690002271
Hidalgo,13,Urbano,0,2739.13777147905,4584.23171539771,4037.72360880168,10956.5510859162,16150.8944352067,33276.2610983467,16638.1305491733
Jalisco,14,Rural,1,3202.01163996576,3932.24311715753,4789.1583304535,12808.046559863,19156.633321814,37691.7691487763,18845.8845743882
Jalisco,14,Urbano,0,3349.03438164745,5698.24274386587,5050.9738648282,13396.1375265898,20203.8954593128,41263.1895162569,20631.5947581284
Michoacán,16,Rural,1,3027.31978184561,3224.5379084751,4007.41999131917,12109.2791273824,16029.6799652767,32931.6718511909,16465.8359255955
Michoacán,16,Urbano,0,3054.17269735494,4672.70186299433,4793.16037813046,12216.6907894198,19172.6415125218,37865.1358731827,18932.5679365914
Morelos,17,Rural,1,2855.36056876787,3388.21214004615,3593.87817654795,11421.4422750715,14375.5127061918,30644.4254773749,15322.2127386874
Morelos,17,Urbano,0,2902.73166626831,4909.88340915512,4205.67478013219,11610.9266650732,16822.6991205288,35010.684654495,17505.3423272475
México,15,Rural,1,2791.84672772979,3898.23386946295,4272.00213493288,11167.3869109192,17088.0085397315,33761.3107861193,16880.6553930597
México,15,Urbano,0,2830.86072097626,5648.9596901161,5200.17340717177,11323.442883905,20800.6936286871,39661.7510128436,19830.8755064218
Nacional,33,Rural,1,2820.60174523602,4048.28567690977,4306.20096567148,11282.4069809441,17224.8038626859,34183.2713465668,17091.6356732834
Nacional,33,Urbano,0,3028.41785540182,6027.77745324612,4993.53316395565,12113.6714216073,19974.1326558226,40021.3606072098,20010.6803036049
Nayarit,18,Rural,1,3341.66826894889,3599.69447825859,3819.59019464864,13366.6730757956,15278.3607785946,33856.9647492812,16928.4823746406
Nayarit,18,Urbano,0,3421.46518766693,5216.34403818305,4719.64514608205,13685.8607506677,18878.5805843282,39669.8246418379,19834.912320919
Nuevo León,19,Rural,1,3116.02577715164,4496.68306906289,4304.83936432384,12464.1031086066,17219.3574572954,35889.1508167131,17944.5754083565
Nuevo León,19,Urbano,0,3445.76059845543,6516.17687572537,4768.64270323517,13783.0423938217,19074.5708129407,41342.4795866122,20671.2397933061
Oaxaca,20,Rural,1,2979.99955764114,3737.53868684685,4384.93417823607,11919.9982305646,17539.7367129443,34857.1373118735,17428.5686559367
Oaxaca,20,Urbano,0,3129.69484968506,5416.09510595014,5657.54979044145,12518.7793987402,22630.1991617658,42593.327349779,21296.6636748895
Puebla,21,Rural,1,2555.35290554891,3436.63218964853,4176.68480455171,10221.4116221956,16706.7392182068,31883.0221815536,15941.5110907768
Puebla,21,Urbano,0,2729.51539334278,4980.04926311784,5174.84170291314,10918.0615733711,20699.3668116526,38427.3515305486,19213.6757652743
Querétaro,22,Rural,1,3027.58779764456,5212.70760119976,5224.04123908932,12110.3511905782,20896.1649563573,40130.184935542,20065.092467771
Querétaro,22,Urbano,0,3238.36480943807,7553.77335008276,5629.27906263788,12953.4592377523,22517.1162505515,45175.5662803059,22587.783140153
Quintana Roo,23,Rural,1,3109.36803849584,5214.18185140532,5058.52799627126,12437.4721539834,20234.111985085,39780.0542899974,19890.0271449987
Quintana Roo,23,Urbano,0,3486.86712390355,7555.90969701916,6038.57844009643,13947.4684956142,24154.3137603857,47940.57655067,23970.288275335
